Results generated by BModes (v1.03.01, 25-Sept-2007, compiled using double precision) on 01-Dec-2018 at 20:35:30.
Created 01-Dec-2018 20:35:30.                                                                      
=================================================================================

            rotating blade frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.74409E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist
 0.3500	-0.000517	 0.018695	-0.000204	 0.004555	-0.008020
 0.3750	 	 	 	 	-0.026101
 0.4000	 0.000458	 0.019569	 0.000043	 0.005212	-0.043059
 0.4250	 	 	 	 	-0.057449
 0.4500	 0.001197	 0.009279	 0.000269	 0.003748	-0.066504
 0.4750	 	 	 	 	-0.069827
 0.5000	 0.001130	-0.011918	 0.000369	 0.000330	-0.065875
 0.5250	 	 	 	 	-0.053658
 0.5500	-0.000046	-0.033234	 0.000285	-0.003451	-0.036764
 0.5750	 	 	 	 	-0.012781
 0.6000	-0.001815	-0.033808	 0.000055	-0.005400	 0.008114
 0.6250	 	 	 	 	 0.027464
 0.6500	-0.002661	 0.002385	-0.000188	-0.004153	 0.034577
 0.6750	 	 	 	 	 0.027660
 0.7000	-0.001032	 0.057866	-0.000303	-0.000810	 0.008802
 0.7250	 	 	 	 	-0.024718
 0.7500	 0.002126	 0.057682	-0.000287	 0.001030	-0.053643
 0.7750	 	 	 	 	-0.074538
 0.8000	 0.003201	-0.018691	-0.000226	 0.001393	-0.071450
 0.8250	 	 	 	 	-0.036064
 0.8500	 0.000046	-0.094663	-0.000122	 0.003186	 0.015336
 0.8750	 	 	 	 	 0.082733
 0.9000	-0.004056	-0.050618	 0.000122	 0.006738	 0.128091
 0.9250	 	 	 	 	 0.152963
 0.9500	-0.002067	 0.124006	 0.000545	 0.009864	 0.134520
 0.9750	 	 	 	 	-0.241848
 1.0000	 0.027122	 0.777094	 0.001190	 0.014293	-0.435096


 -------- Mode No.  11  (freq = 0.17745E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.000075
 0.0500	-0.000132	-0.005054	 0.000604	 0.023045	-0.000150
 0.0750	 	 	 	 	-0.000241
 0.1000	-0.000460	-0.007998	 0.002100	 0.036528	-0.000326
 0.1250	 	 	 	 	-0.000538
 0.1500	-0.000912	-0.009924	 0.004153	 0.044621	-0.000727
 0.1750	 	 	 	 	-0.000962
